time,S_ch4,S_IC,S_IN,S_h2o,X_ch,X_pr,X_li,X_bac,S_gas_ch4,S_gas_co2,p_ch4,p_co2,p_gas,q_gas
0,0.0909683156193015,0.508116659362585,0.943918291218337,956.960956853638,3.25917979812365,0.956418225548119,0.412913584569364,2.56933983971095,0.314759806070456,0.780464657044728,0.508723651190617,0.458694156103334,1.03311780729395,91.0505713957799
0.00991482127254976,0.090963469784961,0.508080217637207,0.943589813661353,956.485345395418,3.24960128600123,0.954443951015107,0.412325700115886,2.56908181550713,0.31476487681048,0.780436460838823,0.508731846663259,0.458677584648424,1.03310943131168,90.6302993023544
0.0198296425450995,0.0909607827473436,0.508049239798292,0.943261347796543,956.009966910699,3.24005049157477,0.952474402046105,0.411738665074644,2.56882001237072,0.314771900764052,0.780406832079632,0.508743198974569,0.458660171254274,1.03310337022884,90.3261835153789
0.0297444638176493,0.0909588866451301,0.508019841977689,0.942932893996686,955.534826190744,3.23052791881411,0.950509666299819,0.411152496085321,2.56855436411683,0.314779455879602,0.780377237135253,0.508755409764809,0.458642777733742,1.03309818749855,90.0661420311966
0.128892676543147,0.0909471389187829,0.507713197672714,0.939649495498346,950.803838461127,3.13767601173552,0.931268460899969,0.405364550164365,2.56557636878687,0.31486896006553,0.780049913794726,0.508900068947412,0.458450403483222,1.03305047243063,87.672179358265
0.228040889268644,0.0909401305724747,0.507388233474839,0.936367506049771,946.095983810832,3.04745823682706,0.912479386657559,0.399659439635911,2.56224376615195,0.314971154831358,0.779690072810638,0.50906523900217,0.458238917985401,1.03300415698757,85.348649874899
0.327189101994142,0.0909372834667429,0.507047232611328,0.933087080698183,941.411581544437,2.95984963600805,0.89413977084757,0.39403751068987,2.55856237337736,0.315084493665415,0.779301687237918,0.509248420413429,0.45801065628141,1.03295907669484,83.0872845372782
0.965623282854453,0.090986699503,0.504634786688258,0.912011855588467,911.771842657167,2.44881304700601,0.785324271542232,0.359624165291807,2.52797455357407,0.315981008059881,0.776386219219221,0.510697392192232,0.45629717940528,1.03269457159751,69.8228700889791
1.60405746371476,0.0911395147287291,0.501917124160669,0.891040199276004,883.057812222702,2.02499666269835,0.691918637548134,0.328273375401693,2.48637836274393,0.317123888356493,0.772865946241782,0.512544547471124,0.454228246971166,1.03247279444229,58.7064072111628
2.11951931300489,0.091312729704935,0.499628261839849,0.874204604854208,860.538581184714,1.73798945881608,0.626450906093317,0.305048295138009,2.44619210312077,0.318147232648085,0.769793287262602,0.514198505296754,0.452422385930917,1.03232089122767,51.095090759035
2.63498116229501,0.0915192278622117,0.497294753647702,0.857476147383033,838.597114646309,1.49224456867213,0.568611754307882,0.283532357071613,2.40144431874877,0.319232125559147,0.766586521331105,0.515951939732224,0.450537707644089,1.03218964737631,44.520741377179
3.15044301158513,0.0917546879486203,0.494920595726226,0.840871762863458,817.21837287726,1.28176648945537,0.517438565045142,0.263596028924035,2.35311804471863,0.320370923931348,0.763261613554063,0.51779249769008,0.448583595112348,1.03207609280243,38.833842101331
3.66590486087526,0.0920166301772991,0.492501771992934,0.824407101697001,796.387501844279,1.10146742456934,0.472097919849824,0.245119928996396,2.30203849008442,0.321561617431274,0.759819951223172,0.519716930012915,0.446560863673825,1.03197779368674,33.9119574040967
4.3812205010577,0.0924211834197892,0.489059894381048,0.801815323100983,768.362598192569,0.893776268897925,0.417588713733817,0.221708374160192,2.22779222319393,0.323299842038544,0.754844542994061,0.522526297510753,0.443636720141735,1.03186301765249,28.1662510369497
5.09653614124015,0.0928678955354628,0.485518412489773,0.779553952293762,741.329078369981,0.726396440109155,0.371307087286014,0.200637782992715,2.15107921611555,0.325130216527284,0.749650925799262,0.525484600238736,0.440584330985111,1.03176893122385,23.4572223235582
5.81185178142259,0.0933498350231415,0.481888957801193,0.757654083866221,715.250295029297,0.591198026594444,0.331831486397613,0.181660774154508,2.07315855877824,0.327039133897704,0.744269697036775,0.528569846181111,0.437421678885842,1.03169152506695,19.5836853207628
6.52716742160504,0.0938602820742844,0.478188672390906,0.736141483136887,690.091530173623,0.481848476423724,0.298019867583665,0.164560365411266,1.99498095789998,0.329011433037202,0.738737206220256,0.531757531521281,0.43417012715531,1.03162765867659,16.3881389205954
7.24248306178748,0.0943937959459843,0.474431916966555,0.715036983687212,665.819845958255,0.393379047294216,0.268948849800277,0.149145691282994,1.91726379872551,0.331034699015184,0.733083376144827,0.53502759089925,0.430847261998263,1.03157485289751,13.7463074430511
8.06154922949911,0.0950279389168424,0.47007256679233,0.691393632745839,639.076672038392,0.312672089647542,0.240516808440189,0.13334837693242,1.82953256446999,0.333403024601928,0.726486392714651,0.538855345321704,0.426970087394623,1.03152543271633,11.2740996925126
8.88061539721074,0.095682728751221,0.465659061815757,0.668326274630123,613.409688524374,0.24931221290858,0.216358296546053,0.11931048671719,1.74374748108931,0.335818140430547,0.719776782383856,0.542758723449049,0.423026719785743,1.03148544323479,9.2738290135836
9.69968156492238,0.0963542800769927,0.461200337191933,0.645848661727067,588.775211502434,0.199508520406856,0.19570413732588,0.106829927280368,1.66035890444371,0.338271601180585,0.712974474660811,0.546724075716844,0.419028872128692,1.03145294784554,7.64852642999988
10.518747732634,0.0970381282982504,0.45671224090705,0.623969562500498,565.131411672377,0.160318708338743,0.177935335669349,0.0957286503449664,1.57967421828921,0.34075180062615,0.706108777656325,0.550732643816377,0.414993769366372,1.03142641318275,6.32143390194711
