<<<<<<< HEAD
time,q_in,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_h2o,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_va,X_bu,X_pro,X_ac,X_h2,S_cat,S_an,S_va_i,S_bu_i,S_pro_i,S_ac_i,S_hco3_i,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2
0,4,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
10,8,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
30,4,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
70,4,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
=======
time,q_in,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_h2o,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_va,X_bu,X_pro,X_ac,X_h2,S_cat,S_an,S_va_i,S_bu_i,S_pro_i,S_ac_i,S_hco3_i,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2
0,4,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
10,8,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
30,4,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
70,4,0,0,0,0.09506234,0.293430689,0.131139714,1.782801081,0,0,0,0.5922945,960.51175,80,18,5,0,0,0,0,0,0,0,0,0.05625,0.0075,0,0,0,0,0,0,0,0,0
>>>>>>> 491b5c33a6c039be4b62dc9e6cf2b27a74051f93
