"num","G.num","Food.Wastes","Food.Wastes.Clean","Group","pH","TS.Perc","VS.Perc","TOC","TKN","Fat.Perc","Protein.Perc","Carbohydrate.Perc","TP","TK","C.N.Mixture","BMP"
73,"SS.73","Soup","Soup","SS",6.53,0.2548,0.1847,12.05,1.04,0.003,0.0649,0.935,0.71,4.1,12.36,440
74,"BEV.74","Cola beverage","Cola_beverage","BEV",2.63,0.936,0.887,4.93,2.36,0.002,0.007,0.991,0.06,2.79,2.08,373
75,"BEV.75","Tea beverage","Tea_beverage","BEV",6.1,0.0152,0.0151,3.5,3.68,2e-04,0.23,0.7698,0.39,2.05,17.62,425
76,"BEV.76","Fruit juices (orange)","Fruit_juices_orange","BEV",4.01,0.1397,0.1086,5.82,0.35,0,0.2121,0.788,0,0.15,18.27,504
77,"RERW.77","Food from conference","Food_from_conference","RERW",7.2,0.6845,0.5493,32.2,2.53,0.1421,0.1588,0.6991,0.29,0.27,12.67,568
78,"RERW.78","Food from hotel","Food_from_hotel","RERW",7,0.961,0.273,56.2,4.81,0.442,0.265,0.293,0.63,3.56,11.67,495
79,"RERW.79","Piece of pizza","Piece_of_pizza","RERW",5.94,0.8719,0.7312,48.6,4.23,0.066,0.247,0.687,0.32,0.27,15.28,394
80,"RERW.80","French fries","French_fries","RERW",5.35,0.2258,0.1853,48.39,2.11,0.296,0.054,0.65,0.76,3.56,21.59,349
81,"RERW.81","Gravy (tomato sauce)","Gravy_tomato_sauce","RERW",3.93,0.499,0.4702,12.1,0.87,0.0066,0.0546,0.9388,0.8,2.16,18.29,1108
82,"OT.82","Plain pasta","Plain_pasta","OT",7.15,0.4226,0.4077,29.57,2.07,0.06,0.14,0.8,0.12,0.1,14.26,326
83,"OT.83","Meat pasta","Meat_pasta","OT",7.21,0.3818,0.3406,36.87,2.33,0.14,0.193,0.667,0.35,0.2,15.77,216
84,"OT.84","Rice","Rice","OT",6.13,0.8988,0.7176,40.5,1.51,0.01,0.08,0.91,0.16,0.11,17.99,463
85,"OT.85","Cafeteria wastes (CW)","Cafeteria_wastes_CW","OT",6.22,0.1425,0.135,48.95,1.96,0.04,0.17,0.79,0.17,0.89,24.9,370
86,"OT.86","Tea","Tea","OT",4.92,0.9262,0.636,48.2,3.74,1e-04,0.234,0.7659,0.39,2.05,12.89,235
87,"OT.87","Spent coffee grounds","Spent_coffee_grounds","OT",6.13,0.3801,0.3221,46.4,1.95,0.6012,0.3988,0,0.05,0.45,18.22,378
88,"OT.88","Chocolate","Chocolate","OT",6.89,0.9678,0.7399,46,1.36,0.336,0.0849,0.5791,0.06,0.18,28.64,477
