num,G.num,Food.Wastes,Food.Wastes.Clean,Group,pH,TS.Perc,VS.Perc,TOC,TKN,Fat.Perc,Protein.Perc,Carbohydrate.Perc,TP,TK,C.N.Mixture,BMP
714,FOG.9+FP.55,FOG_from_food_processing_AND_canned_tuna_fish,FOG_from_food_processing_AND_canned_tuna_fish,FOG+FP,0,0,0,0,0,0.80975,0.13335,0.0569,0,0,0,0
715,FOG.9+FP.56,FOG_from_food_processing_AND_freeze_fish,FOG_from_food_processing_AND_freeze_fish,FOG+FP,0,0,0,0,0,0.8143,0.15515,0.0306,0,0,0,0
716,FOG.9+FP.57,FOG_from_food_processing_AND_fresh_fish,FOG_from_food_processing_AND_fresh_fish,FOG+FP,0,0,0,0,0,0.79385,0.19315,0.013,0,0,0,0
717,FOG.9+FP.58,FOG_from_food_processing_AND_fish_flesh_salmon,FOG_from_food_processing_AND_fish_flesh_salmon,FOG+FP,0,0,0,0,0,0.8054,0.12615,0.06845,0,0,0,0
718,FOG.9+FP.59,FOG_from_food_processing_AND_Fish_and_shellfish,FOG_from_food_processing_AND_Fish_and_shellfish,FOG+FP,0,0,0,0,0,0.91,0.0843,0.0055,0,0,0,0
719,FOG.9+EP.60,FOG_from_food_processing_AND_Whole_egg,FOG_from_food_processing_AND_Whole_egg,FOG+EP,0,0,0,0,0,0.85825,0.09825,0.0435,0,0,0,0
720,FOG.9+EP.61,FOG_from_food_processing_AND_Cooked_eggs,FOG_from_food_processing_AND_Cooked_eggs,FOG+EP,0,0,0,0,0,0.8271,0.1334,0.0395,0,0,0,0
721,FOG.9+EP.62,FOG_from_food_processing_AND_Pickled_eggs,FOG_from_food_processing_AND_Pickled_eggs,FOG+EP,0,0,0,0,0,0.8821,0.0741,0.04225,0,0,0,0
722,FOG.9+EP.63,FOG_from_food_processing_AND_Raw_eggs,FOG_from_food_processing_AND_Raw_eggs,FOG+EP,0,0,0,0,0,0.8883,0.0782,0.0335,0,0,0,0
723,FOG.9+SSG.64,FOG_from_food_processing_AND_Sugar,FOG_from_food_processing_AND_Sugar,FOG+SSG,0,0,0,0,0,0.499,0.0424,0.4586,0,0,0,0
724,FOG.9+SSG.65,FOG_from_food_processing_AND_Sweet_cream,FOG_from_food_processing_AND_Sweet_cream,FOG+SSG,0,0,0,0,0,0.769,0.026,0.205,0,0,0,0
725,FOG.9+SSG.66,FOG_from_food_processing_AND_Chocolate_pudding,FOG_from_food_processing_AND_Chocolate_pudding,FOG+SSG,0,0,0,0,0,0.523,0.03425,0.44275,0,0,0,0
726,FOG.9+SSG.67,FOG_from_food_processing_AND_Cakes,FOG_from_food_processing_AND_Cakes,FOG+SSG,0,0,0,0,0,0.6115,0.03045,0.35805,0,0,0,0
727,FOG.9+SSG.68,FOG_from_food_processing_AND_Jelly,FOG_from_food_processing_AND_Jelly,FOG+SSG,0,0,0,0,0,0.499,0.0053,0.4957,0,0,0,0
728,FOG.9+SSG.69,FOG_from_food_processing_AND_Mousse,FOG_from_food_processing_AND_Mousse,FOG+SSG,0,0,0,0,0,0.585,0.03695,0.37805,0,0,0,0
729,FOG.9+SSG.70,"FOG_from_food_processing_AND_Other_dessert_wafers,etc.","FOG_from_food_processing_AND_Other_dessert_wafers,etc.",FOG+SSG,0,0,0,0,0,0.574,0.0365,0.3895,0,0,0,0
730,FOG.9+SS.71,FOG_from_food_processing_AND_Condiments,FOG_from_food_processing_AND_Condiments,FOG+SS,0,0,0,0,0,0.5153,0.05935,0.42535,0,0,0,0
731,FOG.9+SS.72,FOG_from_food_processing_AND_Canned_soup,FOG_from_food_processing_AND_Canned_soup,FOG+SS,0,0,0,0,0,0.5014,0.08,0.4186,0,0,0,0
732,FOG.9+SS.73,FOG_from_food_processing_AND_Soup,FOG_from_food_processing_AND_Soup,FOG+SS,0,0,0,0,0,0.5005,0.03345,0.4675,0,0,0,0
733,FOG.9+BEV.74,FOG_from_food_processing_AND_Cola_beverage,FOG_from_food_processing_AND_Cola_beverage,FOG+BEV,0,0,0,0,0,0.5,0.0045,0.4955,0,0,0,0
734,FOG.9+BEV.75,FOG_from_food_processing_AND_Tea_beverage,FOG_from_food_processing_AND_Tea_beverage,FOG+BEV,0,0,0,0,0,0.4991,0.116,0.3849,0,0,0,0
735,FOG.9+BEV.76,FOG_from_food_processing_AND_Fruit_juices_orange,FOG_from_food_processing_AND_Fruit_juices_orange,FOG+BEV,0,0,0,0,0,0.499,0.10705,0.394,0,0,0,0
736,FOG.9+RERW.77,FOG_from_food_processing_AND_Food_from_conference,FOG_from_food_processing_AND_Food_from_conference,FOG+RERW,0,0,0,0,0,0.57005,0.0804,0.34955,0,0,0,0
737,FOG.9+RERW.78,FOG_from_food_processing_AND_Food_from_hotel,FOG_from_food_processing_AND_Food_from_hotel,FOG+RERW,0,0,0,0,0,0.72,0.1335,0.1465,0,0,0,0
