time,qsX,variable,value,feed
50,S,S_gas_co2,0,Maize
70,S,S_gas_co2,0,Maize
0,q,q_in,1.293,Manure
10,q,q_in,2.586,Manure
30,q,q_in,1.293,Manure
50,q,q_in,0.6465,Manure
70,q,q_in,1.293,Manure
0,S,S_su,0,Manure
10,S,S_su,0,Manure
30,S,S_su,0,Manure
50,S,S_su,0,Manure
70,S,S_su,0,Manure
0,S,S_aa,0,Manure
10,S,S_aa,0,Manure
30,S,S_aa,0,Manure
50,S,S_aa,0,Manure
70,S,S_aa,0,Manure
0,S,S_fa,0,Manure
10,S,S_fa,0,Manure
30,S,S_fa,0,Manure
50,S,S_fa,0,Manure
70,S,S_fa,0,Manure
0,S,S_va,0.292482102,Manure
10,S,S_va,0.292482102,Manure
30,S,S_va,0.292482102,Manure
50,S,S_va,0.292482102,Manure
70,S,S_va,0.292482102,Manure
0,S,S_bu,0.893343198,Manure
10,S,S_bu,0.893343198,Manure
30,S,S_bu,0.893343198,Manure
50,S,S_bu,0.893343198,Manure
70,S,S_bu,0.893343198,Manure
0,S,S_pro,0.360865318,Manure
10,S,S_pro,0.360865318,Manure
30,S,S_pro,0.360865318,Manure
50,S,S_pro,0.360865318,Manure
70,S,S_pro,0.360865318,Manure
0,S,S_ac,3.917513011,Manure
10,S,S_ac,3.917513011,Manure
30,S,S_ac,3.917513011,Manure
50,S,S_ac,3.917513011,Manure
70,S,S_ac,3.917513011,Manure
0,S,S_h2,0,Manure
10,S,S_h2,0,Manure
30,S,S_h2,0,Manure
50,S,S_h2,0,Manure
70,S,S_h2,0,Manure
0,S,S_ch4,0,Manure
10,S,S_ch4,0,Manure
30,S,S_ch4,0,Manure
50,S,S_ch4,0,Manure
70,S,S_ch4,0,Manure
0,S,S_IC,0,Manure
10,S,S_IC,0,Manure
30,S,S_IC,0,Manure
50,S,S_IC,0,Manure
70,S,S_IC,0,Manure
0,S,S_IN,1.71,Manure
10,S,S_IN,1.71,Manure
30,S,S_IN,1.71,Manure
50,S,S_IN,1.71,Manure
70,S,S_IN,1.71,Manure
0,S,S_h2o,947,Manure
10,S,S_h2o,947,Manure
30,S,S_h2o,947,Manure
50,S,S_h2o,947,Manure
70,S,S_h2o,947,Manure
0,X,X_ch,16.993284,Manure
10,X,X_ch,16.993284,Manure
30,X,X_ch,16.993284,Manure
50,X,X_ch,16.993284,Manure
70,X,X_ch,16.993284,Manure
0,X,X_pr,10.81942,Manure
10,X,X_pr,10.81942,Manure
30,X,X_pr,10.81942,Manure
50,X,X_pr,10.81942,Manure
70,X,X_pr,10.81942,Manure
0,X,X_li,1.3674,Manure
10,X,X_li,1.3674,Manure
30,X,X_li,1.3674,Manure
50,X,X_li,1.3674,Manure
70,X,X_li,1.3674,Manure
0,X,X_su,0,Manure
10,X,X_su,0,Manure
30,X,X_su,0,Manure
50,X,X_su,0,Manure
70,X,X_su,0,Manure
0,X,X_aa,0,Manure
10,X,X_aa,0,Manure
30,X,X_aa,0,Manure
50,X,X_aa,0,Manure
70,X,X_aa,0,Manure
0,X,X_fa,0,Manure
10,X,X_fa,0,Manure
30,X,X_fa,0,Manure
50,X,X_fa,0,Manure
70,X,X_fa,0,Manure
0,X,X_va,0,Manure
10,X,X_va,0,Manure
30,X,X_va,0,Manure
50,X,X_va,0,Manure
70,X,X_va,0,Manure
0,X,X_bu,0,Manure
10,X,X_bu,0,Manure
30,X,X_bu,0,Manure
50,X,X_bu,0,Manure
70,X,X_bu,0,Manure
0,X,X_pro,0,Manure
10,X,X_pro,0,Manure
30,X,X_pro,0,Manure
50,X,X_pro,0,Manure
70,X,X_pro,0,Manure
0,X,X_ac,0,Manure
10,X,X_ac,0,Manure
30,X,X_ac,0,Manure
50,X,X_ac,0,Manure
70,X,X_ac,0,Manure
0,X,X_h2,0,Manure
10,X,X_h2,0,Manure
30,X,X_h2,0,Manure
50,X,X_h2,0,Manure
70,X,X_h2,0,Manure
0,S,S_cat,0.15,Manure
10,S,S_cat,0.15,Manure
30,S,S_cat,0.15,Manure
50,S,S_cat,0.15,Manure
70,S,S_cat,0.15,Manure
0,S,S_an,0.02,Manure
10,S,S_an,0.02,Manure
30,S,S_an,0.02,Manure
50,S,S_an,0.02,Manure
70,S,S_an,0.02,Manure
0,S,S_va_i,0,Manure
10,S,S_va_i,0,Manure
30,S,S_va_i,0,Manure
50,S,S_va_i,0,Manure
70,S,S_va_i,0,Manure
0,S,S_bu_i,0,Manure
10,S,S_bu_i,0,Manure
30,S,S_bu_i,0,Manure
50,S,S_bu_i,0,Manure
70,S,S_bu_i,0,Manure
0,S,S_pro_i,0,Manure
10,S,S_pro_i,0,Manure
30,S,S_pro_i,0,Manure
50,S,S_pro_i,0,Manure
70,S,S_pro_i,0,Manure
0,S,S_ac_i,0,Manure
10,S,S_ac_i,0,Manure
30,S,S_ac_i,0,Manure
50,S,S_ac_i,0,Manure
70,S,S_ac_i,0,Manure
0,S,S_hco3_i,0,Manure
10,S,S_hco3_i,0,Manure
30,S,S_hco3_i,0,Manure
50,S,S_hco3_i,0,Manure
70,S,S_hco3_i,0,Manure
0,S,S_nh3,0,Manure
10,S,S_nh3,0,Manure
30,S,S_nh3,0,Manure
50,S,S_nh3,0,Manure
70,S,S_nh3,0,Manure
0,S,S_gas_h2,0,Manure
10,S,S_gas_h2,0,Manure
30,S,S_gas_h2,0,Manure
50,S,S_gas_h2,0,Manure
70,S,S_gas_h2,0,Manure
0,S,S_gas_ch4,0,Manure
10,S,S_gas_ch4,0,Manure
30,S,S_gas_ch4,0,Manure
50,S,S_gas_ch4,0,Manure
70,S,S_gas_ch4,0,Manure
0,S,S_gas_co2,0,Manure
10,S,S_gas_co2,0,Manure
30,S,S_gas_co2,0,Manure
50,S,S_gas_co2,0,Manure
70,S,S_gas_co2,0,Manure
