time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_h2o,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_va,X_bu,X_pro,X_ac,X_h2,S_cat,S_an,S_va_i,S_bu_i,S_pro_i,S_ac_i,S_hco3_i,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2,S_nh4_i,S_co2,phi,S_H,pH,p_h2,p_ch4,p_co2,p_gas,q_gas
0,0.00960927160017921,0.00305119319997042,0.0294577724307151,0.0116735137931848,0.0122119005566668,0.00976317248969737,0.0492186207705571,2.59297161959227e-08,0.0116944752219608,4.94251501261739,0.958115007321441,957.040714629307,2.9621896023631,0.950591118335213,0.412264926994643,1.03974664426196,0.273773650829326,0.077177420444683,0.0482512612154569,0.136546227530389,0.127146638541977,0.524913761295932,0.250972175130344,0.05625,0.0075,0.0116340603058559,0.0121742478478885,0.00972862586767383,0.0490863952679604,4.51446835015934,0.0221982259247702,1.14076389568143e-06,0.359202220966723,0.657923547133566,0.935916781396671,0.42804666245805,3.97259501416086e-07,4.68116647578129e-08,7.32964591383355,1.47498775374791e-05,0.580552732088882,0.386674378537103,1.03294186050352,82.2237197321803
1.92715817209649e-05,0.0096108496288788,0.00305445069082307,0.0294599847703659,0.0116734410300718,0.012211675207757,0.00976307196512304,0.0492172492925649,2.5932638585732e-08,0.011694475287057,4.94251500731496,0.958114551307897,957.040714628123,2.96217346610708,0.950588205012614,0.412264363522589,1.03974664442523,0.273773651110239,0.0771774204490197,0.0482512612153843,0.136546227527086,0.127146638540077,0.524913761283534,0.250972175157153,0.0562499566389693,0.00749999421852924,0.011634008426135,0.0121740863214408,0.00972855605130615,0.0490853782858134,4.51446642814951,0.0221982156430371,1.14076398756962e-06,0.35920221999464,0.657923606434997,0.93591633566486,0.428048579165443,3.97379784168594e-07,4.68001968724941e-08,7.32975231999301,1.47498787255774e-05,0.580552730517774,0.386674413389699,1.0329418937862,82.2253891647666
3.85431634419297e-05,0.0096124250702116,0.00305770441567954,0.02946219706627,0.0116733688640335,0.0122114508359333,0.00976297209488234,0.0492158809766698,2.59356742721122e-08,0.011694475455967,4.94251499695764,0.958114095945687,957.040714625588,2.96215732993905,0.950585291703161,0.412263800052018,1.03974664477699,0.273773651715587,0.0771774204583573,0.0482512612152255,0.136546227519965,0.127146638535959,0.52491376126026,0.250972175215998,0.0562499132779713,0.00749998843706284,0.0116339405196933,0.0121738736296218,0.0097284627978585,0.0490840641707521,4.51446478168374,0.0221982058729173,1.14076418650115e-06,0.359202217023741,0.657923722358279,0.93591589007277,0.428050215273902,3.97253430980266e-07,4.68122436543799e-08,7.32964054316299,1.47498812977272e-05,0.580552725716124,0.386674481520052,1.03294195711747,82.2285658113719
5.78147451628946e-05,0.0096139978737667,0.00306095429960471,0.0294644093175086,0.0116732973069304,0.0122112274604434,0.00976287289167599,0.0492145159087868,2.59386951267072e-08,0.0116944757244585,4.94251498182328,0.958113641247902,957.040714621675,2.96214119386085,0.950582378407133,0.412263236582962,1.03974664532091,0.273773652651825,0.0771774204728007,0.0482512612149802,0.136546227508959,0.127146638529584,0.524913761225024,0.250972175307557,0.0562498699170065,0.00749998265560087,0.0116338693722403,0.0121736514130033,0.00972836446553949,0.0490827026100964,4.51446317768138,0.0221981954914055,1.14076449186569e-06,0.359202211139563,0.657923890451607,0.935915445756496,0.428051804141904,3.97236481639897e-07,4.68138600673533e-08,7.32962554736145,1.47498852460373e-05,0.580552716205949,0.386674580311748,1.03294204640294,82.2330443006267
0.000250530562372543,0.00962950149622635,0.00309312516942899,0.0294865279749039,0.0116726337142685,0.0122090786248097,0.00976193754788714,0.0492011428584736,2.596857640798e-08,0.0116944860626935,4.94251450045249,0.958109151011612,957.040714464807,2.96197984082899,0.950553246605,0.412257602023061,1.03974666710011,0.273773690267093,0.0771774210579239,0.0482512612064878,0.136546227074219,0.127146638278435,0.524913759838687,0.250972179015414,0.0562494363102316,0.00749992484136422,0.0116332041729143,0.012171504071207,0.00972742848748555,0.0490693483834812,4.51444716535389,0.0221980281554398,1.14077562114378e-06,0.359201613527424,0.657928692066892,0.935911122856172,0.428067335098605,3.97214191979328e-07,4.68159859260173e-08,7.32960582611386,1.47500291456553e-05,0.580551750328402,0.386677402313809,1.03294390267136,82.3261534453547
0.000443246379582192,0.00964475326070571,0.00312492664917368,0.0295086422439122,0.011672028644768,0.0122070252597366,0.00976106575433295,0.0491880819664892,2.59981004354031e-08,0.01169450419494,4.9425137098771,0.958104724686226,957.040714175225,2.96181849661653,0.950524116120954,0.412251967611863,1.03974670720873,0.273773759702122,0.0771774221447205,0.048251261192717,0.136546226281747,0.127146637822217,0.524913757306325,0.250972185867428,0.0562490027067259,0.00749986702756345,0.0116325973392328,0.0121694521765529,0.00972655583215933,0.0490563077962677,4.51443114866809,0.0221977949362209,1.14079537586448e-06,0.35920029291327,0.657936148718433,0.935906929750005,0.428082561209004,3.97188863468338e-07,4.68184018246348e-08,7.32958341529955,1.47502845707369e-05,0.580549615914665,0.386681784731969,1.0329461509312,82.4389250576682
0.000635962196791841,0.00965975236413249,0.00315635607584323,0.0295307520399545,0.0116714824977745,0.0122050678567082,0.0097602576328139,0.0491753349050281,2.60272657339e-08,0.0116945292434663,4.94251266358521,0.95810036273619,957.040713751861,2.96165716139001,0.950494986980043,0.412246333352188,1.03974676569499,0.273773861184828,0.0771774237428691,0.0482512611753686,0.136546225138012,0.127146637166247,0.524913753639789,0.250972195885461,0.0562485691065512,0.00749980921420682,0.0116320493140246,0.0121674960846655,0.00972574674655552,0.0490435805685132,4.51441511427228,0.0221975011927725,1.14082365314995e-06,0.359198227883143,0.657945668530718,0.935902861543418,0.42809754931293,3.97169027102282e-07,4.68202940258234e-08,7.32956586331364,1.47506501910896e-05,0.580546278354895,0.386687379709554,1.03294840871464,82.5521748617637
0.00256312036888833,0.00979751365897786,0.00345220125352513,0.0297516111209848,0.0116689354627525,0.0121901913636665,0.00975523178801143,0.049063263965433,2.63013778523514e-08,0.0116949503315671,4.94249687017412,0.958059936398149,957.040702849743,2.96004428806694,0.950203767209,0.412189998835857,1.0397482368595,0.273776464688972,0.077177467035683,0.048251261393201,0.136546199151441,0.127146622816661,0.524913666611042,0.25097245295686,0.0562442332823928,0.00749923110431904,0.0116294751610487,0.0121526206800434,0.00972070273821452,0.0489316735213751,4.51425148538416,0.0221925854863594,1.14154191765493e-06,0.359154881449476,0.658091045550389,0.93586735091179,0.42824538478996,3.96987648851321e-07,4.68376022091441e-08,7.3294053461785,1.47599372254427e-05,0.580476220629683,0.386772820592435,1.03296380115934,83.3242688804692
0.00449027854098481,0.00991410290604783,0.00371550886412956,0.0299720245304627,0.011671517773537,0.0121835152866695,0.0097554564268832,0.0489781401110507,2.65449344520794e-08,0.0116955405939384,4.94247617610754,0.95802514274324,957.04068013983,2.95843230711416,0.949912680982344,0.412133679381015,1.0397512377209,0.273781869363506,0.0771775612854662,0.0482512631257728,0.136546151553856,0.127146597653699,0.524913498746993,0.250972986746516,0.056239897789191,0.0074986530385588,0.0116320150570034,0.012145924036517,0.00972089400973372,0.0488466507350846,4.51408028767292,0.0221849826422058,1.14302517779524e-06,0.359083693555503,0.658298158229041,0.935840160101034,0.428395888434613,3.96616793728669e-07,4.68730274451878e-08,7.3290769952684,1.47791155194864e-05,0.580361164753285,0.386894544714719,1.03297048858352,83.6597211429853
0.0064174367130813,0.0100123595253355,0.00394951083140502,0.0301919883955832,0.0116786986878623,0.0121840629407933,0.00976014873884621,0.0489169070109532,2.67616049419883e-08,0.0116961003933848,4.94245638439601,0.957995424043084,957.040646705697,2.95682122430631,0.949621729291228,0.412077375096502,1.03975555387662,0.273789795613849,0.0771777069394093,0.0482512678658189,0.13654609239334,0.127146568388813,0.52491327285499,0.250973770066669,0.056235562629228,0.0074980750172304,0.0116391391016134,0.0121464316229083,0.00972553947895134,0.0487854625598132,4.51389990506134,0.0221760711880609,1.14516803994308e-06,0.359002448254106,0.658529029647891,0.935819352855023,0.428556479334667,3.9654202837764e-07,4.68801751352517e-08,7.32901077454689,1.4806822352057e-05,0.580229853812144,0.387030232307593,1.03297489294209,83.8806534249846
